UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000082965548;A03G0093;CTO - OPTAP-B 85/15;RJVRD_G1A03;RUA AMADOR BUENO VOLTA REDONDA SANTO AGOSTINHO 27211240 RJ 308;VOLTA REDONDA;-22.488047400;-44.079585400;G0;RJVRD-A03SP12;RJVRD-A03SP12-SS5;VRD_A03_1_GPON_VLAN_109_110_111-ALC;1/1/1/12
EQP0000000083066720;I03G01132;CTO - OPTAP-B 90/10;RJVRD_G1I03;RUA WILSON COPIO VOLTA REDONDA JARDIM AMALIA 27251252 RJ 290;VOLTA REDONDA;-22.515023700;-44.082026000;G0;RJVRD-I03SP142;RJVRD-I03SP142-SS4;VRD_I03_1_GPON_VLAN_234_235_236-HUA;1/1/7/5
EQP0000000075388332;I01GP523;TO;RJVRD_G1I01;RUA PRIMEIRO CABO LUIZ AUGUSTO PEREIRA VOLTA REDONDA ATERRADO 27213240 RJ 240;VOLTA REDONDA;-22.507145400;-44.089524700;GP;RJVRD-I01SP66;RJVRD-I01SP66-SS3;VRD_I01_1_GPON_VLAN_100_101_102-ALC;1/1/3/14
EQP0000000075385209;A03G0506;CTO - PAD TELEFONICA;RJVRD_G1A03;RUA MANAUS VOLTA REDONDA SANTO AGOSTINHO 27210120 RJ 186;VOLTA REDONDA;-22.488808900;-44.075215600;G0;RJVRD-A03SP64;RJVRD-A03SP64-SS2;VRD_A03_1_GPON_VLAN_109_110_111-ALC;1/1/3/12
EQP0000000075392144;A03G0050;CTO - PAD TELEFONICA;RJVRD_G1A03;RUA BARTOLOMEU BUENO DA SILVEIRA VOLTA REDONDA SANTO AGOSTINHO 27211290 RJ 369;VOLTA REDONDA;-22.488377500;-44.085673900;G0;RJVRD-A03SP7;RJVRD-A03SP7-SS2;VRD_A03_1_GPON_VLAN_109_110_111-ALC;1/1/1/7
EQP0000000079721094;I02GP240;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RJVRD_G1I02;RUA QUATORZE VOLTA REDONDA VILA SANTA CECILIA 27260140 RJ 315;VOLTA REDONDA;-22.518146900;-44.107413500;GP;RJVRD-I02SP30;RJVRD-I02SP30-SS8;VRD_I02_1_GPON_VLAN_231_232_233-HUA;1/1/2/7
EQP0000000075393560;A02G0313;CTO - PAD TELEFONICA;RJVRD_G1A02;AVENIDA DAS CAMELIAS VOLTA REDONDA VILA MURY 27281050 RJ 5;VOLTA REDONDA;-22.501050200;-44.102506600;G0;RJVRD-A02SP40;RJVRD-A02SP40-SS1;VRD_A02_1_GPON_VLAN_106_107_108-ALC;1/1/2/11
EQP0000000075383630;A03G0155;CTO - PAD TELEFONICA;RJVRD_G1A03;RUA MIL E QUARENTA E TRES VOLTA REDONDA SANTO AGOSTINHO 27211670 RJ 96;VOLTA REDONDA;-22.482342100;-44.072546100;G0;RJVRD-A03SP20;RJVRD-A03SP20-SS3;VRD_A03_1_GPON_VLAN_109_110_111-ALC;1/1/1/14
EQP0000000075392010;A03G0035;CTO - PAD TELEFONICA;RJVRD_G1A03;RUA B VOLTA REDONDA PARQUE DAS ILHAS 27211010 RJ 142;VOLTA REDONDA;-22.489853800;-44.085355500;G0;RJVRD-A03SP5;RJVRD-A03SP5-SS3;VRD_A03_1_GPON_VLAN_109_110_111-ALC;1/1/1/5
EQP0000000075386318;I03G0562;CTO - PAD TEL-B-60/40;RJVRD_G1I03;RUA GHANDI VOLTA REDONDA MONTE CASTELO 27253123 RJ 446;VOLTA REDONDA;-22.523095500;-44.085659700;G0;RJVRD-I03SP71;RJVRD-I03SP71-SS2;VRD_I03_1_GPON_VLAN_234_235_236-HUA;1/1/3/13
EQP0000000075391564;A05G0323;CTO - PAD TELEFONICA;RJVRD_G1A05;RUA ZURIQUE VOLTA REDONDA PONTE ALTA 27267401 RJ 260;VOLTA REDONDA;-22.536842700;-44.131279700;G0;RJVRD-A05SP41;RJVRD-A05SP41-SS3;VRD_A05_1_GPON_VLAN_112_113_114-ALC;1/1/3/4
EQP0000000075384820;A09G0451;CTO - PAD TELEFONICA;RJVRD_G1A09;RUA SEISCENTOS E SETENTA E UM VOLTA REDONDA SIDEROPOLIS 27257170 RJ 45;VOLTA REDONDA;-22.541208500;-44.087077800;G0;RJVRD-A09SP57;RJVRD-A09SP57-SS3;VRD_A09_1_GPON_VLAN_124_125_126-ALC;1/1/3/3
EQP0000000075382374;I01G0179;CTO - PAD TELEFONICA;RJVRD_G1I01;RUA DOZE DE OUTUBRO VOLTA REDONDA NOSSA SENHORA DAS GRACAS 27215260 RJ 85;VOLTA REDONDA;-22.500681200;-44.093525300;G0;RJVRD-I01SP23;RJVRD-I01SP23-SS3;VRD_I01_1_GPON_VLAN_100_101_102-ALC;1/1/1/16
EQP0000000075384742;A02G0472;CTO - PAD TELEFONICA;RJVRD_G1A02;RUA SAO GABRIEL VOLTA REDONDA NITEROI 27283230 RJ 387;VOLTA REDONDA;-22.498581800;-44.090710900;G0;RJVRD-A02SP59;RJVRD-A02SP59-SS8;VRD_A02_1_GPON_VLAN_106_107_108-ALC;1/1/3/7
EQP0000000075385897;A06G0342;CTO - PAD TELEFONICA;RJVRD_G1A06;RUA DOZE VOLTA REDONDA VILA SANTA CECILIA 27260315 RJ 239;VOLTA REDONDA;-22.516657400;-44.106147200;G0;RJVRD-A06SP43;RJVRD-A06SP43-SS6;VRD_A06_1_GPON_VLAN_115_116_117-ALC;1/1/2/12
EQP0000000075383764;A03G0087;CTO - PAD TELEFONICA;RJVRD_G1A03;LADEIRA TRES VOLTA REDONDA SANTO AGOSTINHO 27211530 RJ 5;VOLTA REDONDA;-22.488101700;-44.080804600;G0;RJVRD-A03SP11;RJVRD-A03SP11-SS7;VRD_A03_1_GPON_VLAN_109_110_111-ALC;1/1/1/11
EQP0000000075393317;I03G0142;CTO - PAD TEL-B-90/10;RJVRD_G1I03;RUA OITOCENTOS E VINTE E SETE VOLTA REDONDA CASA DE PEDRA 27258315 RJ 41;VOLTA REDONDA;-22.538740700;-44.074488300;G0;RJVRD-I03SP18;RJVRD-I03SP18-SS6;VRD_I03_1_GPON_VLAN_234_235_236-HUA;1/1/1/13
